TICKET,Decision Trees,Building Predictive Models,Intro to CHAID,Classification and Clustering,Data Entry,FastTrack,Intermediate Techniques,Intro to Statistic platform,Intro to Platform & Statistics,Maps,Perceptual Mapping,Market Segmentation,Neural Networks,Scripting,Intro to Statistics,Tables,Time Series,ANOVA models,Rule prediction,Rule confidence,Rule ID
957,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Intro to Statistics,0.667,197
962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
974,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Intro to Statistic platform,0.857,336
987,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Intro to Statistics,0.714,538
1008,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Tables,0.625,390
1010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1016,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
1043,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Intro to Statistics,0.833,169
1092,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Intermediate Techniques,0.692,164
1094,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
1102,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,Decision Trees,0.571,661
1103,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Building Predictive Models,0.750,77
1114,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1117,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1146,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,Intro to Statistic platform,0.833,419
1148,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Intro to Platform & Statistics,0.667,178
1161,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Market Segmentation,0.556,283
1170,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,,
1171,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Intro to Statistics,0.800,629
1174,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Building Predictive Models,0.800,54
1192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Building Predictive Models,0.615,68
1199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Building Predictive Models,0.800,87
1218,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Intro to Statistics,0.667,152
1225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
1239,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
1242,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
1248,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Tables,0.571,414
1249,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Tables,0.571,414
1250,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Building Predictive Models,0.650,39
1252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
1264,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Intermediate Techniques,0.692,164
1266,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,ANOVA models,0.800,797
1267,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
1291,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Intro to Statistics,0.750,153
